# Curated entity aliases — Layer 2 of entity resolution.
# Both key columns are POST-canonicalize() keys. Single-hop only: a target must
# never appear as a source. Every row is human-reviewed. The `note` column is a
# per-row provenance breadcrumb (see ADR-0002..0004, entity-resolution spec).
# See docs/superpowers/specs/2026-07-08-entity-resolution-design.md.
source_canonical,target_canonical,note
PROSPECT INFOSYSTEMS,PROSPECT INFOSYSTEM,worksheet-2026-07-11
RANTOUL CITY SCHOOL DISTRICT,RANTOUL CITY SCHOOL DISTRICT 137,worksheet-2026-07-11
SCHWEITZER ENGINEERING LABORATORIE,SCHWEITZER ENGINEERING LABORATORIES,worksheet-2026-07-11
SCOTTSDALE UNIFIED SCHOOL DISTRICT NO 48,SCOTTSDALE UNIFIED SCHOOL DISTRICT,worksheet-2026-07-11
SEMICONDUCTOR COMPONENTS INDUSTRIE,SEMICONDUCTOR COMPONENTS INDUSTRIES,worksheet-2026-07-11
SOFTECH INTERNATIONAL RESOURCES IN,SOFTECH INTERNATIONAL RESOURCES,worksheet-2026-07-11
ST JUDE MEDICAL CARDIOLOGY DIVISIO,ST JUDE MEDICAL CARDIOLOGY DIVISION,worksheet-2026-07-11
TECHGLOBALSYSTEMS,TECHGLOBAL SYSTEMS,worksheet-2026-07-11
TECHSHAPERS,TECH SHAPERS,worksheet-2026-07-11
UNIVERSITY OF KANSAS MEDICAL CENTE,UNIVERSITY OF KANSAS MEDICAL CENTER,worksheet-2026-07-11
UNIVERSITY OF MISSISSIPPI MED CT,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,worksheet-2026-07-11
UNIVERSITY OF NEW MEXICO HOSPITALS,UNIVERSITY OF NEW MEXICO,worksheet-2026-07-11
UNIVERSITY OF VERMONT HEALTH NETWO,UNIVERSITY OF VERMONT HEALTH NETWORK MEDICAL GROUP,worksheet-2026-07-11
WHITE RIVER HEALTH SYSTEMS,WHITE RIVER HEALTH SYSTEM,worksheet-2026-07-11
WI CARE NURSING AND CLINICAL LABOR,WI CARE NURSING AND CLINICAL LABORATORY SERVICES,worksheet-2026-07-11
WJL ARCHITECTURE AND ENGINEERING DPC DOING BUSINESS AS EWINGCOLE,WJL ARCHITECTURE AND ENGINEERING DPC,worksheet-2026-07-11
INTERNATIONAL BUSINESS MACHINES,IBM,marquee-fix-2026-07-12
STANFORD UNIVERSITY,LELAND STANFORD JR UNIVERSITY,marquee-fix-2026-07-12
